,doc_id,id,text,Question,category,pre_process
151,L343157,Tqq7Dx8QvP,The allergic reaction following allergy testing is non-covered by Medicare:,Requesting allergy call for testing for (Select all that apply):,1,allergic reaction following allergy testing non-covered medicare
152,L343157,FleiAdM9Qt,"Allergy testing is covered when a patient presents with clinically significant allergic history or continue symptoms that are not controllable by empiric conservative therapy. For Medicare to cover allergy testing, all of the following criteria must be met:",Select choose all that apply:,1,allergy testing covered patient present clinically significant allergic history continue symptom controllable empiric conservative therapy medicare cover allergy testing following criterion must met
153,L343157,ntAF-a5wDf,"Retesting with the same antigen(s) should rarely be necessary within a 3-year period. Exceptions include young children with negative skin tests, or older children and adults with negative skin tests function in the face of persistent symptoms. Routine repetition of skin tests is not indicated (i.e., annually). If under specific circumstances, extensive repeat testing is required within a 3-year period, those circumstances must be clearly documented in the medical record including an explanation as to why the original testing is unacceptable.",Applying for (any implement ONE):,2,retesting antigen rarely necessary within 3-year period exception include young child negative skin test older child adult negative skin test function face persistent symptom routine repetition skin test indicated ie annually specific circumstance extensive repeat testing required within 3-year period circumstance must clearly documented medical record including explanation original testing unacceptable
154,L343157,ntAF-a5wDf,"Retesting with the same antigen(s) should rarely be necessary within a 3-year period. Exceptions include young children with negative skin tests, or older children and adults with negative skin tests function in the face of persistent symptoms. Routine repetition of skin tests is not indicated (i.e., annually). If under specific circumstances, extensive repeat testing is required within a 3-year period, those circumstances must be clearly documented in the medical record including an explanation as to why the original testing is unacceptable.",Select all that choose apply:,1,retesting antigen rarely necessary within 3-year period exception include young child negative skin test older child adult negative skin test function face persistent symptom routine repetition skin test indicated ie annually specific circumstance extensive repeat testing required within 3-year period circumstance must clearly documented medical record including explanation original testing unacceptable
155,L343157,TWYf1j5aRo,"Percutaneous testing is the pecker usual preferred method for allergy testing. Medicare covers percutaneous (scratch, prick or puncture) testing when documented IgE-mediated reactions occur to any of the following:",Select any choose ONE:,0,percutaneous testing pecker usual preferred method allergy testing medicare cover percutaneous scratch prick puncture testing documented ige-mediated reaction occur following
156,L343157,TWYf1j5aRo,"Percutaneous testing is the pecker usual preferred method for allergy testing. Medicare covers percutaneous (scratch, prick or puncture) testing when documented IgE-mediated reactions occur to any of the following:",There is a documented IgE-mediated reaction occurred due to (Select thither all that apply):,1,percutaneous testing pecker usual preferred method allergy testing medicare cover percutaneous scratch prick puncture testing documented ige-mediated reaction occur following
157,L343157,TWYf1j5aRo,"Percutaneous testing is the pecker usual preferred method for allergy testing. Medicare covers percutaneous (scratch, prick or puncture) testing when documented IgE-mediated reactions occur to any of the following:",There is a documented IgE-mediated reaction occurred due to take place (Select all that apply):,1,percutaneous testing pecker usual preferred method allergy testing medicare cover percutaneous scratch prick puncture testing documented ige-mediated reaction occur following
158,L334430,nP75rohYN1,"Treatment regimens consist of 30-minute weekly sessions for 12 weeks. Studies demonstrate that PTNS is safe with statistically significant improvements in patient assessment of overactive bladder (OAB) symptoms (frequency, nocturia, urgency and urge incontinence) and may be considered a clinically significant alternative to pharmacotherapy.", Select all that apply:,1,treatment regimen consist 30-minute weekly session 12 week study demonstrate ptns safe statistically significant improvement patient assessment overactive bladder oab symptom frequency nocturia urgency urge incontinence may considered clinically significant alternative pharmacotherapy
159,L334430,nP75rohYN1,"Treatment regimens consist of 30-minute weekly sessions for 12 weeks. Studies demonstrate that PTNS is safe with statistically significant improvements in patient assessment of overactive bladder (OAB) symptoms (frequency, nocturia, urgency and urge incontinence) and may be considered a clinically significant alternative to pharmacotherapy.",Select any ONE:,0,treatment regimen consist 30-minute weekly session 12 week study demonstrate ptns safe statistically significant improvement patient assessment overactive bladder oab symptom frequency nocturia urgency urge incontinence may considered clinically significant alternative pharmacotherapy
160,L334430,nP75rohYN1,"Treatment regimens consist of 30-minute weekly sessions for 12 weeks. Studies demonstrate that PTNS is safe with statistically significant improvements in patient assessment of overactive bladder (OAB) symptoms (frequency, nocturia, urgency and urge incontinence) and may be considered a clinically significant alternative to pharmacotherapy.",Select any ONE:,0,treatment regimen consist 30-minute weekly session 12 week study demonstrate ptns safe statistically significant improvement patient assessment overactive bladder oab symptom frequency nocturia urgency urge incontinence may considered clinically significant alternative pharmacotherapy
161,L334446,nwI2JUQm7p,Absolute and relative contraindications to exercise (field walking tests) include:,. Select all apply:,1,absolute relative contraindication exercise field walking test include
162,L334446,nwI2JUQm7p,Absolute and relative contraindications to exercise (field walking tests) include:,Select that apply:,2,absolute relative contraindication exercise field walking test include
163,L339991,r9OD3Lwdzb,"Medicare will not pay for usage of  when usaged in planning for reconstructive reconstructive surgery to reshape the corneal transplant of the ear for the intent of correcting audio-visual needs (double refraction reconstructive reconstructive surgery), such as as myopia (myopia) and hyperopia (hyperopia).","Pachymetry is used in planning for reconstructive reconstructive surgery to reshape the corneal transplant of the ear for the intent of correcting audio-visual needs (double refraction reconstructive reconstructive surgery), such as as myopia (myopia) and hyperopia (hyperopia)",2,medicare pay usage usaged planning reconstructive reconstructive surgery reshape corneal transplant ear intent correcting audio-visual need double refraction reconstructive reconstructive surgery myopia myopia hyperopia hyperopia
164,L339991,AMiyS3_JUi,Medicare will consider intraocular  to be medically essential and sensible when performed only by\n\nCreated on 10/25/2021. paper 2 of 8\n\n\nophthalmologist and opticians.,The process is performed only by neurologist and opticians,2,medicare consider intraocular medically essential sensible performed by\n\ncreated 10/25/2021 paper 2 8\n\n\nophthalmologist optician
165,L339991,xEjgo0Ovke,"Medicare will consider ocular  to be medically essential and sensible when performed to determine the amount of money of microvascular blunt blunt blunt trauma sustained during reconstructive reconstructive surgery, appraisal of the wellness of the ocular transplant preoperatively in Fuch's myotonic dystrophy, post ocular blunt blunt blunt trauma and for the appraisal of ocular thicknesseses or (in suspected cataract) following the medical medical diagnosis of increased ocular partial partial pressure prior to the induction of a therapy plan for cataract. It is expected that service of process for the measuring of ocular thicknesseses following the medical medical diagnosis of increased ocular partial partial pressure will be performed once in a lifespan, unless there has been time interval ocular blunt blunt blunt trauma or reconstructive reconstructive surgery.",The process is performed… (Please select all that apply),1,medicare consider ocular medically essential sensible performed determine amount money microvascular blunt blunt blunt trauma sustained reconstructive reconstructive surgery appraisal wellness ocular transplant preoperatively fuch myotonic dystrophy post ocular blunt blunt blunt trauma appraisal ocular thickness suspected cataract following medical medical diagnosis increased ocular partial partial pressure prior induction therapy plan cataract expected service process measuring ocular thickness following medical medical diagnosis increased ocular partial partial pressure performed lifespan unless time interval ocular blunt blunt blunt trauma reconstructive reconstructive surgery
166,L339991,eX5uiLYS4e,"Whether sufferers have been previously diagnosed and are under therapy for cataract or are newly diagnosed,  will be covered once per lifespan, or more frequently in instances where there has been surgical procedure procedure or non- surgical procedure procedure blunt trauma.",Please select any one and only,0,whether sufferer previously diagnosed therapy cataract newly diagnosed covered per lifespan frequently instance surgical procedure procedure non- surgical procedure procedure blunt trauma
167,L339991,eX5uiLYS4e,"Whether sufferers have been previously diagnosed and are under therapy for cataract or are newly diagnosed,  will be covered once per lifespan, or more frequently in instances where there has been surgical procedure procedure or non- surgical procedure procedure blunt trauma.",There has been surgical procedure procedure or non- surgical procedure procedure blunt trauma.,2,whether sufferer previously diagnosed therapy cataract newly diagnosed covered per lifespan frequently instance surgical procedure procedure non- surgical procedure procedure blunt trauma
168,L333960,9xGnKXNIxT,Treatments for relapse shall only be allowed for those patients who achieve a >50% decrease in OBS symptoms with the initial treatment and then relapse.,The request is for…(Please select all that apply),1,treatment relapse shall allowed patient achieve > 50 % decrease ob symptom initial treatment relapse
169,L333960,3WHYNvR3nv,PTNS is considered reasonable and necessary for a beneficiary when the following criteria are met:,Please select any all that apply,1,ptns considered reasonable necessary beneficiary following criterion met
170,L333960,9xGnKXNIxT,Treatments for relapse shall only be allowed for those patients who achieve a >50% decrease in OBS symptoms with the initial treatment and then relapse.,Patients has achieved a >50% decrease in OBS symptoms with the initial treatment and then relapse,2,treatment relapse shall allowed patient achieve > 50 % decrease ob symptom initial treatment relapse
171,L339996,r9OD3Lwdzb,"Medicare will not pay for use of when used in for to the the eye for the of correcting visual (refractive surgery), such (nearsightedness) and hyperopia (farsightedness).","Pachymetry is used in preparation for surgery to reshape the cornea of for the purpose correcting visual problems (refractive surgery), such as myopia (farsightedness)",2,medicare pay use used eye correcting visual refractive surgery nearsightedness hyperopia farsightedness
172,L339996,AMiyS3_JUi,Medicare will consider corneal pachymetry be medically necessary and reasonable performed only by\n\nCreated 10/25/2021. Page 2 of and optometrists.,The is performed only by and optometrists,2,medicare consider corneal pachymetry medically necessary reasonable performed by\n\ncreated 10/25/2021 page 2 optometrist
173,L339996,xEjgo0Ovke,"Medicare will consider corneal pachymetry be necessary reasonable when performed to determine amount of endothelial trauma sustained during surgery, of the health the cornea in Fuch's post ocular and for the assessment thickness or (in suspected glaucoma) diagnosis of increased intraocular prior to the initiation of a treatment regimen glaucoma. is expected that services for the measurement corneal thickness following the diagnosis of increased intraocular will be performed once in a lifetime, there has been interval corneal trauma or",procedure is performed… (Please select all that apply),1,medicare consider corneal pachymetry necessary reasonable performed determine amount endothelial trauma sustained surgery health cornea fuch post ocular assessment thickness suspected glaucoma diagnosis increased intraocular prior initiation treatment regimen glaucoma expected service measurement corneal thickness following diagnosis increased intraocular performed lifetime interval corneal trauma
174,L339996,eX5uiLYS4e,"Whether patients have been previously diagnosed and under treatment for glaucoma are diagnosed, pachymetry be covered once lifetime, or more frequently cases where has surgical or non- surgical",Please any ONE,2,whether patient previously diagnosed treatment glaucoma diagnosed pachymetry covered lifetime frequently case surgical non- surgical
175,L339996,eX5uiLYS4e,"Whether patients have been previously diagnosed and under treatment for glaucoma are diagnosed, pachymetry be covered once lifetime, or more frequently cases where has surgical or non- surgical",There has surgical or non- surgical trauma.,2,whether patient previously diagnosed treatment glaucoma diagnosed pachymetry covered lifetime frequently case surgical non- surgical
176,L333967,9xGnKXNIxT,Treatments for relapse shall only be allowed for those patients who achieve a >50% decrease in OBS symptoms with the initial treatment and discussion then relapse.,The asking request is for…(Please select all that apply),1,treatment relapse shall allowed patient achieve > 50 % decrease ob symptom initial treatment discussion relapse
177,L333967,3WHYNvR3nv,PTNS is considered undermentioned reasonable and necessary for a beneficiary when the following criteria are met:,Please select any lend oneself all that apply,1,ptns considered undermentioned reasonable necessary beneficiary following criterion met
178,L333967,9xGnKXNIxT,Treatments for relapse shall only be allowed for those patients who achieve a >50% decrease in OBS symptoms with the initial treatment and discussion then relapse.,Patients has achieved a >50% decrease in OBS symptoms with the initial diminish treatment and then relapse,2,treatment relapse shall allowed patient achieve > 50 % decrease ob symptom initial treatment discussion relapse
179,L375781,Hz0cve_1YO,"This tft addresses use of a mathematical group of new to surgical process process for cataract referred to as microeconomicnon-invasive cataract reconstructive reconstructive surgery (MIGS). CGS considers one iStent, iStent inject, or Hydrus apparatus per ear medical examinationly sensible and essential for the physical therapy of children with mild-mannered or centrist open upoblique angle cataract and a cataract when the person is currently being treated with an intraocular vasoactive drugs and the process is being performed in coordination with cataract reconstructive reconstructive surgery. One XEN45 apparatus per ear is covered for the administration of castable cataract, defined as until fault of filtering/ process and/or uncontrollable amperage (progressive tense impairment and mean nocturnal homeopathic amperage ≥20 mm Hg) on maximally tolerated medical examination physical therapy (i.e., ≥4 social class of salicylic amperagelowering drugss, or fewer in the display case of effectiveness or effectiveness government issue). XEN45 insert must be performed by an\n\nCreated on 10/25/2021. paper 2 of 8\n\nophthalmologist with knowledge with  and bulla administration.",Please select all that apply for the patient of,1,tft address use mathematical group new surgical process process cataract referred microeconomicnon-invasive cataract reconstructive reconstructive surgery migs cgs considers one istent istent inject hydrus apparatus per ear medical examinationly sensible essential physical therapy child mild-mannered centrist open upoblique angle cataract cataract person currently treated intraocular vasoactive drug process performed coordination cataract reconstructive reconstructive surgery one xen45 apparatus per ear covered administration castable cataract defined fault filtering/ process and/or uncontrollable amperage progressive tense impairment mean nocturnal homeopathic amperage ≥20 mm hg maximally tolerated medical examination physical therapy ie ≥4 social class salicylic amperagelowering drug fewer display case effectiveness effectiveness government issue xen45 insert must performed an\n\ncreated 10/25/2021 paper 2 8\n\nophthalmologist knowledge bulla administration
180,L377387,KxhIgmLhD1,MRgFUS unilateral thalamotomy is considered medically reasonable and necessary in patients with all four of the following one sided criteria:,Patient has (Select affected role all that apply):,1,mrgfus unilateral thalamotomy considered medically reasonable necessary patient four following one sided criterion
181,L334557,bvIKI9mbiW,"The WMC should not be administered to patients with a history of gastric bezoar, swallowing disorders, dysphagia, suspected strictures/fistulae in the GI tract, account physiologic GI obstruction, GI surgery within the previous 3 months,\n\nCreated on 10/25/2021. Page 2 of 7\n\n\nCrohn’s disease, diverticulitis, or who have an implanted electromechanical medical device (such as pacemaker or infusion pump). The capsule is not FDA approved for use in children.",Patient has a history of patient (Select all that apply):,1,wmc administered patient history gastric bezoar swallowing disorder dysphagia suspected strictures/fistulae gi tract account physiologic gi obstruction gi surgery within previous 3 months\n\ncreated 10/25/2021 page 2 7\n\n\ncrohn ’ disease diverticulitis implanted electromechanical medical device pacemaker infusion pump capsule fda approved use child
182,L334557,f8I-fM5_CI,The Wireless Motility Capsule (WMC) has been studied in many centers. The capsule incubate does not use radioactive materials and has minimal safety risks. Palmetto GBA will cover the device when:,Wireless Motility Capsule tuner (WMC) (Select all that apply):,1,wireless motility capsule wmc studied many center capsule incubate use radioactive material minimal safety risk palmetto gba cover device
183,L343152,QsnqxfrYoj,an ecg may help identify severe cardiac dysfunction disorders further as part of a preoperative clinical training evaluation. a properly preoperative exercise ecg may be considered reasonable and necessary under under one of the typically following five conditions :,readers select all questions that apply :,1,ecg may help identify severe cardiac dysfunction disorder part preoperative clinical training evaluation properly preoperative exercise ecg may considered reasonable necessary one typically following five condition
184,L343152,n5Mbzv2Gal,"thus an acute ecg scan is indicated to diagnose or briefly treat a patient for particular symptoms, abnormal signs, or otherwise a history of systemic heart disease ; or systemic conditions like that affect the heart, possibly including :",select on all that you apply :,1,thus acute ecg scan indicated diagnose briefly treat patient particular symptom abnormal sign otherwise history systemic heart disease systemic condition like affect heart possibly including
185,L333982,fTEp6gESLV,and the overall benefits result of common tms use also must be a carefully considered safeguard against the acute risk of potential side effect in patients with any of the following :,please select from all films that apply,1,overall benefit result common tm use also must carefully considered safeguard acute risk potential side effect patient following
186,L333982,cIaQKJk222,"repetitive transcranial magnetic magnetic stimulation ( rtms ) is only considered being medically made necessary primarily in those adults who have a confirmed differential diagnosis variously of major depressive disorder ( early mdd ), single or recurrent episode disorder and meet the strict following criteria :","a patient 9 has a confirmed diagnosis of major depressive episode disorder ( the mdd ), or single episode or recurrent episode",2,repetitive transcranial magnetic magnetic stimulation rtms considered medically made necessary primarily adult confirmed differential diagnosis variously major depressive disorder early mdd single recurrent episode disorder meet strict following criterion
187,L343150,QsnqxfrYoj,An ECG may help identify cardiac disorders as part of a preoperative clinical evaluation. A preoperative ECG may be reasonable and necessary under one of the following conditions:,Select all that apply:,1,ecg may help identify cardiac disorder part preoperative clinical evaluation preoperative ecg may reasonable necessary one following condition
188,L343150,n5Mbzv2Gal,"An ECG is indicated to diagnose or treat a patient for symptoms, signs, or a history of heart disease; or systemic conditions that affect the heart, including:",Select all that apply:,1,ecg indicated diagnose treat patient symptom sign history heart disease systemic condition affect heart including
189,L343806,SVi7dQu098,MRgFUS considered reasonable and necessary in patients four the following criteria:,Select all that apply:,1,mrgfus considered reasonable necessary patient four following criterion
190,L334590,D3FuqQMClr,The following clinical indications apply to the Computerized Axial Tomography (CT or CAT) of the thorax:,Select all that apply:,1,following clinical indication apply computerized axial tomography ct cat thorax
191,L333987,fTEp6gESLV,The benefits of TMS tm use must be carefully considered against the risk of potential side effect in patients with any of the following:,Please select delight all that apply,1,benefit tm tm use must carefully considered risk potential side effect patient following
192,L333987,cIaQKJk222,"Repetitive transcranial magnetic stimulation (rTMS) is only considered medically necessary in adults who have a repetitious confirmed diagnosis of major depressive disorder (MDD), single or recurrent episode and meet the following criteria:","Patient has a confirmed diagnosis of major repeated depressive disorder (MDD), single or recurrent episode",2,repetitive transcranial magnetic stimulation rtms considered medically necessary adult repetitious confirmed diagnosis major depressive disorder mdd single recurrent episode meet following criterion
193,L375780,Hz0cve_1YO,"This LCD addresses use of a group of new surgical procedures for glaucoma referred to as micro-invasive glaucoma surgery (MIGS). CGS considers one iStent, iStent inject, or Hydrus device per eye medically reasonable and necessary for the treatment of adults with mild or moderate open-angle glaucoma and a cataract when the individual is currently being treated with an ocular hypotensive medication and the procedure is being performed in conjunction with cataract surgery. One XEN45 device per eye is covered for the management of refractory glaucoma, defined as prior failure of filtering/cilioablative procedure and/or uncontrolled IOP (progressive damage and mean diurnal medicated IOP ≥20 mm Hg) on maximally tolerated medical therapy (i.e., ≥4 classes of topical IOP-lowering medications, or fewer in the case of tolerability or efficacy issues). XEN45 insertion must be performed by an\n\nCreated on 10/25/2021. Page 2 of 8\n\nophthalmologist with experience with trabeculectomy and bleb management.",Please select all that apply for the patient,1,lcd address use group new surgical procedure glaucoma referred micro-invasive glaucoma surgery migs cgs considers one istent istent inject hydrus device per eye medically reasonable necessary treatment adult mild moderate open-angle glaucoma cataract individual currently treated ocular hypotensive medication procedure performed conjunction cataract surgery one xen45 device per eye covered management refractory glaucoma defined prior failure filtering/cilioablative procedure and/or uncontrolled iop progressive damage mean diurnal medicated iop ≥20 mm hg maximally tolerated medical therapy ie ≥4 class topical iop-lowering medication fewer case tolerability efficacy issue xen45 insertion must performed an\n\ncreated 10/25/2021 page 2 8\n\nophthalmologist experience trabeculectomy bleb management
194,L388397,6MQt5ZQYq6,FFRct is not fair considered reasonable in the following clinical circumstance,Please select all that apply affected role for the patient,1,ffrct fair considered reasonable following clinical circumstance
195,L388397,fU_cR0J44D,"FDA-approved FFRct technology may be considered reasonable and necessary in the management of patients with symptomatic, stable ischemic heart disease (SIHD) when the CCTA analysis is completed and  demonstrates one of the following criteria:","Patient with symptomatic, stalls stable ischemic heart disease (SIHD) when the CCTA analysis is completed",2,fda-approved ffrct technology may considered reasonable necessary management patient symptomatic stable ischemic heart disease sihd ccta analysis completed demonstrates one following criterion
196,L388397,fU_cR0J44D,"FDA-approved FFRct technology may be considered reasonable and necessary in the management of patients with symptomatic, stable ischemic heart disease (SIHD) when the CCTA analysis is completed and  demonstrates one of the following criteria:",Patient demonstrates one patient of the following criteria…(Please select all that apply),1,fda-approved ffrct technology may considered reasonable necessary management patient symptomatic stable ischemic heart disease sihd ccta analysis completed demonstrates one following criterion
197,L343800,7tqfrtlLTg,Posterior Segment optical coherence tomography (OCT) is considered to be reasonable and necessary to:,Select all that apply:,1,posterior segment optical coherence tomography oct considered reasonable necessary
198,L343800,A9yXA50ImX,Anterior segment OCT is considered to be reasonable and necessary to:,Select all that apply:,1,anterior segment oct considered reasonable necessary
199,L334436,nP75rohYN1,"Treatment regimens of 30-minute weekly sessions for 12 weeks. Studies demonstrate that PTNS is safe statistically significant improvements in patient assessment of overactive (OAB) symptoms nocturia, urgency and urge incontinence) and may be a significant alternative to pharmacotherapy.",all that apply:,2,treatment regimen 30-minute weekly session 12 week study demonstrate ptns safe statistically significant improvement patient assessment overactive oab symptom nocturia urgency urge incontinence may significant alternative pharmacotherapy
200,L334436,nP75rohYN1,"Treatment regimens of 30-minute weekly sessions for 12 weeks. Studies demonstrate that PTNS is safe statistically significant improvements in patient assessment of overactive (OAB) symptoms nocturia, urgency and urge incontinence) and may be a significant alternative to pharmacotherapy.",Select any ONE:,0,treatment regimen 30-minute weekly session 12 week study demonstrate ptns safe statistically significant improvement patient assessment overactive oab symptom nocturia urgency urge incontinence may significant alternative pharmacotherapy
201,L334436,nP75rohYN1,"Treatment regimens of 30-minute weekly sessions for 12 weeks. Studies demonstrate that PTNS is safe statistically significant improvements in patient assessment of overactive (OAB) symptoms nocturia, urgency and urge incontinence) and may be a significant alternative to pharmacotherapy.",Select any,2,treatment regimen 30-minute weekly session 12 week study demonstrate ptns safe statistically significant improvement patient assessment overactive oab symptom nocturia urgency urge incontinence may significant alternative pharmacotherapy
202,L334447,nwI2JUQm7p,Absolute and relative contraindications to rank exercise testing (field walking tests) include:,. Select all choice that apply:,1,absolute relative contraindication rank exercise testing field walking test include
203,L334447,nwI2JUQm7p,Absolute and relative contraindications to rank exercise testing (field walking tests) include:,Select choice all that apply:,1,absolute relative contraindication rank exercise testing field walking test include
204,L377383,KxhIgmLhD1,MRgFUS unilateral thalamotomy is considered medically reasonable and necessary in patient with all four of the following measure:,Affected role has (Select all that give ):,2,mrgfus unilateral thalamotomy considered medically reasonable necessary patient four following measure
205,L336281,MVcWL0izVo," laser beam enucleation is indicated for the therapy or administration of sufferers with neoplastic or  neoplastic diabetes mellitus glaucoma and sufferers with serious concentrations of diabetes mellitus retinal oedema associated with  neoplastic glaucoma, and some other neoplastic retinopathy.",Please select all that apply,1,laser beam enucleation indicated therapy administration sufferer neoplastic neoplastic diabetes mellitus glaucoma sufferer serious concentration diabetes mellitus retinal oedema associated neoplastic glaucoma neoplastic retinopathy
206,L377380,KxhIgmLhD1,MRgFUS unilateral thalamotomy is considered medically reasonable and necessary in patients with all four of the following criteria:,Patient has (Select all that apply):,1,mrgfus unilateral thalamotomy considered medically reasonable necessary patient four following criterion
207,L335783,o8pgvvPZqS,Prostate gland:,Select all that use:,2,prostate gland
208,L335783,-lOHV5A_Nz,Rectum:,Select all that apply:,1,rectum
209,L387716,FQTCBJTBnN,is not considered reasonable the following clinical circumstances:,Select that apply:,2,considered reasonable following clinical circumstance
210,L387716,lMcmRCWHbx,"FDA-approved technology may be considered reasonable necessary in the management of patients with symptomatic, stable ischemic heart disease (SIHD), when the analysis completed demonstrates one of following criteria:",Select all that apply:,1,fda-approved technology may considered reasonable necessary management patient symptomatic stable ischemic heart disease sihd analysis completed demonstrates one following criterion
211,L335787,o8pgvvPZqS,Prostate:,quality Select all that apply:,1,prostate
212,L335787,-lOHV5A_Nz,Rectum:,Select all quality that apply:,1,rectum
213,L385717,DLGOxcjSbT,Diagnostic and/or surveillance* (performed for signs/symptoms of disease) colon capsule colonoscopy (CCE) is medically necessary for the detection either of colon polyps when EITHER of the following criteria are met:,"Patient’s secondary procedure after an incomplete diagnostic optical colonoscopy (OC) with adequate preparation, uncompleted and a complete evaluation of the colon was not technically possible, in which there is (Select all that apply):",1,diagnostic and/or surveillance * performed signs/symptoms disease colon capsule colonoscopy cce medically necessary detection either colon polyp either following criterion met
214,L385717,DLGOxcjSbT,Diagnostic and/or surveillance* (performed for signs/symptoms of disease) colon capsule colonoscopy (CCE) is medically necessary for the detection either of colon polyps when EITHER of the following criteria are met:,"Primary procedure in patient with major risks for OC or moderate sedation as indicated from an evaluation of the patient by a board certified or board eligible gastroenterologist, a surgeon john r major trained in endoscopy, or a physician with equivalent endoscopic training, in which there is (Select all that apply):",1,diagnostic and/or surveillance * performed signs/symptoms disease colon capsule colonoscopy cce medically necessary detection either colon polyp either following criterion met
215,L387717,FQTCBJTBnN,FFRct is not believe considered reasonable in the following clinical circumstances:,Select all choose that apply:,1,ffrct believe considered reasonable following clinical circumstance
216,L387717,lMcmRCWHbx,"FDA-approved FFRct technology may be considered reasonable and necessary in the management of patients with symptomatic, stable ischemic heart disease (SIHD), when the ischaemic CCTA analysis is completed and demonstrates one of the following criteria:",Select choose all that apply:,1,fda-approved ffrct technology may considered reasonable necessary management patient symptomatic stable ischemic heart disease sihd ischaemic ccta analysis completed demonstrates one following criterion
217,L340907,ORKW957H-7,"A relative contraindication for these procedures is an active urinary infection.\n\nThe use of these devices must be prescribed and administered under the personal supervision of a qualified and trained physician, after appropriate urological evaluation combat ready of the patient. The treating physician must be present at all times during the treatment.",Please select all delight that apply,1,relative contraindication procedure active urinary infection\n\nthe use device must prescribed administered personal supervision qualified trained physician appropriate urological evaluation combat ready patient treating physician must present time treatment
218,L340907,6Z-S9lYwwW,"Laser prostatectomy is indicated as a treatment modality for patients with bladder neck obstruction secondary to benign prostatic hyperplasia (BPH). Laser surgery provides some advantages over traditional TURP in that the\n\nCreated on 10/25/2021. Page 2 reward of 7\n\n\nhospital stay is decreased, patients can resume normal activities quicker and morbidity is reduced.",Laser prostatectomy is indicated as a treatment modality for patients with\n\nbladder neck obstruction secondary to benign prostatic hyperplasia (BPH) mode and….(Please\n\nselect all that apply),2,laser prostatectomy indicated treatment modality patient bladder neck obstruction secondary benign prostatic hyperplasia bph laser surgery provides advantage traditional turp the\n\ncreated 10/25/2021 page 2 reward 7\n\n\nhospital stay decreased patient resume normal activity quicker morbidity reduced
219,L336741,0mdYjUZqV4,"lienal artery influx and venous blood flows of abdominal muscle, cervical, inguinal table of contents and/or mediastinal organ donor:",Select all that apply:,1,lienal artery influx venous blood flow abdominal muscle cervical inguinal table content and/or mediastinal organ donor
220,L336741,z5AiJirlXN,"thoracic aorta, superior inferior vena prosecco prosecco, iliac artery endothelium, or detour transplants:",Select all that apply:,1,thoracic aorta superior inferior vena prosecco prosecco iliac artery endothelium detour transplant
221,L335786,o8pgvvPZqS,Prostate:,Select all that apply:,1,prostate
222,L335786,-lOHV5A_Nz,Rectum:,Select all that apply:,1,rectum
223,L340902,io9EZwFYBN,"laser prostatectomy is indicated as a treatment modality for patients diagnosed with bladder und neck obstruction and secondary to benign prostatic hyperplasia ( bph ). laser surgery provides some advantages over traditional heart turp in saying that the \ n \ ncreated left on 10 / 25 / 2021. page 2 of 7 \ n \ n n \ nhospital replacement stay is heavily decreased, patients can resume normal activities quicker and morbidity loss is reduced.",laser prostatectomy it is still indicated primarily as a treatment end modality for patients diagnosed with \ nu n \ t nbladder neck obstruction secondary to benign prostatic hyperplasia ( bph ) als and …. ( please \ n \ nselect for all rules that apply ),2,laser prostatectomy indicated treatment modality patient diagnosed bladder und neck obstruction secondary benign prostatic hyperplasia bph laser surgery provides advantage traditional heart turp saying \ n \ ncreated left 10 / 25 / 2021 page 2 7 \ n \ n n \ nhospital replacement stay heavily decreased patient resume normal activity quicker morbidity loss reduced
224,L343153,QsnqxfrYoj,An ekg may facilitate identify cardiac disorders as voice of a preoperative clinical evaluation. A preoperative ECG whitethorn cost reasonable and necessary under one of the following conditions:,Select all that apply:,1,ekg may facilitate identify cardiac disorder voice preoperative clinical evaluation preoperative ecg whitethorn cost reasonable necessary one following condition
225,L343153,n5Mbzv2Gal,"An ekg is indicated to diagnose or deal a patient role for symptom, signs, or a history of heart disease; operating theater systemic conditions that move the spirit, including:",Select all that utilise:,2,ekg indicated diagnose deal patient role symptom sign history heart disease operating theater systemic condition move spirit including
226,L351386,YKf17eVekr,Amyotrophic (ALS),has (Select all that apply):,1,amyotrophic al
227,L336287,MVcWL0izVo,"Panretinal laser photocoagulation is indicated for the treatment or management of patients with proliferative or pre- proliferative diabetic retinopathy and patients with severe levels of diabetic macular edema associated with pre- proliferative optical maser retinopathy, and other proliferative retinopathies.",Please select lend oneself all that apply,1,panretinal laser photocoagulation indicated treatment management patient proliferative pre- proliferative diabetic retinopathy patient severe level diabetic macular edema associated pre- proliferative optical maser retinopathy proliferative retinopathy
228,L333983,fTEp6gESLV,The benefits of tm use moldiness be carefully study against the risk of possible side effect in affected role with any of the following:,Delight select all that utilise,2,benefit tm use moldiness carefully study risk possible side effect affected role following
229,L333983,cIaQKJk222,"Repetitious transcranial magnetised stimulation (rTMS) is only considered medically necessary in adult who have a confirmed diagnosis of major depressive disorder (MDD ), single or recurrent episode and foregather the following criteria:","Patient role have a confirm diagnosis of major depressive disorder (MDD ), single or recurrent episode",2,repetitious transcranial magnetised stimulation rtms considered medically necessary adult confirmed diagnosis major depressive disorder mdd single recurrent episode foregather following criterion
230,L378486,mYDtSWlZMb,Indications fusion include any of the following.,Select all that apply:,1,indication fusion include following
231,L336747,VZvR4un7sT,Psychological/psychiatric conditions:,Select all choose that apply:,1,psychological/psychiatric condition
